listing_id,status
853,missing_gbauj
854,usable
855,missing_gbauj
856,missing_gbauj
857,usable
858,usable
859,missing_gbauj
860,missing_ganzwhg
861,usable
862,usable
863,missing_gbauj
864,missing_gbauj
865,usable
866,usable
867,missing_population
868,missing_gbauj
869,missing_population
870,usable
871,missing_gbauj
872,missing_population
873,missing_gbauj
874,usable
875,missing_gbauj
876,missing_gbauj
877,missing_solar_class
878,usable
879,usable
880,usable
881,usable
882,usable
883,missing_ganzwhg
884,usable
885,missing_solar_class
886,usable
887,usable
888,missing_gbauj
889,usable
890,missing_solar_class
891,usable
892,missing_ganzwhg
893,missing_ganzwhg
894,usable
895,missing_gbauj
896,missing_ganzwhg
897,usable
898,missing_gbauj
899,usable
900,usable
901,missing_gbauj
902,usable
903,missing_gbauj
904,missing_gbauj
905,missing_population
906,missing_gbauj
907,usable
908,missing_gbauj
909,missing_gbauj
910,missing_gbauj
911,usable
912,usable
913,missing_solar_class
914,missing_solar_class
915,usable
916,usable
917,usable
918,usable
919,missing_gbauj
920,missing_population
921,missing_gbauj
922,missing_gbauj
923,missing_gbauj
924,missing_area_sqm
925,missing_gbauj
926,missing_gbauj
927,usable
928,missing_area_sqm
929,missing_ganzwhg
930,usable
931,usable
932,usable
933,usable
934,usable
935,usable
936,usable
937,missing_gbauj
938,usable
939,missing_gbauj
940,missing_gbauj
941,missing_ganzwhg
942,missing_gbauj
943,usable
944,usable
945,missing_gbauj
946,missing_gbauj
947,missing_solar_class
948,usable
949,missing_gbauj
950,usable
951,missing_gbauj
952,usable
953,missing_gbauj
954,missing_gbauj
955,usable
956,missing_ganzwhg
957,missing_population
958,missing_gbauj
959,usable
960,usable
961,usable
962,missing_population
963,usable
964,missing_ganzwhg
965,usable
966,missing_population
967,missing_gbauj
968,missing_gbauj
969,usable
970,missing_population
971,usable
972,usable
973,usable
974,missing_ganzwhg
975,usable
976,missing_gbauj
977,missing_gbauj
978,usable
979,missing_gbauj
980,missing_solar_class
981,missing_ganzwhg
982,missing_ganzwhg
983,usable
984,usable
985,missing_solar_class
986,missing_solar_class
987,missing_gbauj
988,usable
989,missing_gbauj
990,usable
991,missing_gbauj
992,missing_population
993,usable
994,missing_gbauj
995,missing_gbauj
996,usable
997,usable
998,missing_gbauj
999,usable
1000,usable
1001,missing_gbauj
1002,usable
1003,usable
1004,usable
1005,missing_population
1006,missing_gbauj
1007,missing_gbauj
1008,usable
1009,missing_ganzwhg
1010,missing_gbauj
1011,usable
1012,usable
1013,missing_gbauj
1014,missing_gbauj
1015,missing_gbauj
1016,missing_gbauj
1017,missing_gbauj
1018,usable
1019,usable
1020,usable
1021,missing_gbauj
1022,missing_gbauj
1023,missing_gbauj
1024,missing_address
1025,missing_population
1026,missing_gbauj
1027,usable
1028,usable
1029,missing_solar_class
1030,usable
1031,missing_gbauj
1032,missing_ganzwhg
1033,usable
1034,usable
1035,usable
1036,usable
1037,usable
1038,missing_gbauj
1039,missing_population
1040,missing_gbauj
1041,usable
1042,usable
1043,missing_population
1044,usable
1045,missing_gbauj
1046,missing_gbauj
1047,missing_solar_class
1048,usable
1049,missing_gbauj
1050,missing_gbauj
1051,usable
1052,missing_gbauj
1053,missing_gbauj
1054,missing_gbauj
1055,usable
1056,missing_gbauj
1057,missing_solar_class
1058,usable
1059,usable
1060,missing_address
1061,missing_population
1062,missing_gbauj
1063,missing_gbauj
1064,usable
1065,missing_address
1066,usable
1067,missing_gbauj
1068,missing_population
1069,missing_gbauj
1070,usable
1071,usable
1072,missing_gbauj
1073,missing_gbauj
1074,missing_gbauj
1075,missing_ganzwhg
1076,missing_ganzwhg
1077,usable
1078,missing_ganzwhg
1079,usable
1080,missing_ganzwhg
1081,usable
1082,missing_gbauj
1083,missing_gbauj
1084,missing_gbauj
1085,missing_gbauj
1086,missing_ganzwhg
1087,usable
1088,missing_address
1089,missing_gbauj
1090,usable
1091,usable
1092,missing_gbauj
1093,missing_gbauj
1094,usable
1095,missing_gbauj
1096,usable
1097,missing_gbauj
1098,missing_address
1099,usable
1100,usable
1101,usable
1102,missing_gbauj
1103,missing_gbauj
1104,usable
1105,missing_ganzwhg
1106,usable
1107,missing_gbauj
1108,usable
1109,missing_gbauj
1110,missing_gbauj
1111,usable
1112,missing_population
1113,usable
1114,missing_gbauj
1115,usable
1116,missing_ganzwhg
1117,missing_gbauj
1118,usable
1119,missing_address
1120,missing_rooms
1121,usable
1122,missing_address
1123,missing_area_sqm
1124,usable
1125,missing_gbauj
1126,usable
1127,usable
1128,missing_gbauj
1129,usable
1130,usable
1131,missing_ganzwhg
1132,usable
1133,missing_gbauj
1134,usable
1135,usable
1136,missing_gbauj
1137,usable
1138,usable
1139,usable
1140,usable
1141,usable
