area_sqm,rooms,price_cold,population,oev_score,solar_class,elevation_m,lv95_east,lv95_north,gbauj,ganzwhg,garea
66,2,1715,117,4987.0,4.0,406.6,2526737.5,1151709.125,2021,36,755.0
90,3,1270,218,16424.0,4.0,670.5,2747330.25,1255073.0,1918,4,165.0
33,1,1120,212,2869.0,5.0,282.1,2718528.0,1096430.125,1993,18,350.0
80,1,1550,97,12360.0,2.0,445.9,2683108.75,1249216.75,1929,13,207.0
41,1,1360,97,6328.0,2.0,458.3,2699778.25,1262609.25,2006,6,285.0
30,1,660,98,949.0,3.0,691.4,2753292.5,1173944.5,1975,43,321.0
48,2,1530,41,5167.0,3.0,437.2,2665415.0,1211822.0,1894,4,199.0
74,3,1124,35,16855.0,2.0,284.4,2612851.25,1265187.0,2008,5,204.0
110,4,1850,31,87.0,2.0,471.4,2722673.5,1280498.0,1974,1,120.0
68,4,1150,181,17282.0,2.0,671.9,2747847.75,1255336.625,1918,8,197.0
16,1,760,91,6847.0,4.0,627.3,2578291.25,1182671.625,2013,99,402.0
41,1,1180,166,6328.0,3.0,458.0,2699850.75,1262577.625,2006,40,1223.0
68,3,1630,101,4243.0,4.0,468.2,2690919.75,1209218.625,1962,8,163.0
150,5,1200,193,9968.0,2.0,407.5,2678743.75,1248984.875,1996,7,205.0
62,3,1150,211,18424.0,3.0,665.1,2747610.75,1255325.25,1956,8,155.0
90,4,1340,87,4257.0,4.0,458.6,2687336.5,1281547.625,1974,8,205.0
78,3,1760,67,8218.0,4.0,581.0,2759270.5,1191543.5,1973,11,273.0
80,2,1650,26,275.0,4.0,506.9,2599601.25,1250212.875,1974,6,179.0
41,1,1140,80,611.0,4.0,281.1,2610311.5,1266009.375,1942,13,211.0
43,1,1150,69,3164.0,3.0,292.1,2612331.25,1262484.375,1981,6,256.0
60,3,1740,160,3518.0,3.0,411.9,2682313.5,1263314.0,1960,8,167.0
61,3,1900,390,9305.0,5.0,402.1,2501870.25,1117392.625,1946,12,156.0
82,2,2050,117,10580.0,5.0,375.3,2542060.25,1150448.75,1775,5,218.0
71,3,1507,39,9547.0,4.0,769.3,2745512.0,1253123.625,1965,17,369.0
70,3,1520,145,18706.0,3.0,396.3,2672473.5,1250530.0,1974,11,256.0
16,1,985,149,10079.0,3.0,434.4,2664253.25,1213834.5,1991,1,305.0
41,1,960,80,611.0,4.0,281.1,2610311.5,1266009.375,1942,13,211.0
60,2,1500,126,5652.0,3.0,449.5,2698851.75,1260918.625,1962,58,331.0
50,2,1545,23,21652.0,3.0,500.7,2538329.75,1152377.25,1909,4,1042.0
78,3,1661,105,1470.0,3.0,445.4,2690988.5,1247128.5,1963,12,264.0
68,2,2057,65,52009.0,2.0,434.4,2665709.75,1211448.5,1850,5,293.0
47,1,1760,303,9463.0,2.0,257.7,2610814.75,1268288.25,1964,33,392.0
87,4,2900,208,11696.0,3.0,382.4,2500158.5,1115448.5,1986,12,232.0
94,3,1988,84,18037.0,3.0,436.9,2696874.25,1262157.875,1890,6,199.0
35,2,1400,110,47001.0,5.0,489.4,2538383.25,1152509.375,1940,26,231.0
78,4,1305,55,5895.0,2.0,430.8,2638104.5,1237751.75,1954,12,246.0
52,1,1000,73,4107.0,2.0,284.2,2609798.75,1265966.125,2001,2,206.0
30,1,1180,179,9968.0,2.0,401.5,2678729.75,1249276.125,1973,37,516.0
58,2,1245,161,974.0,4.0,396.1,2562810.75,1130042.125,1992,44,937.0
15,1,880,34,5612.0,4.0,286.8,2612711.0,1263908.125,1953,24,338.0
60,3,1120,42,2246.0,2.0,346.4,2658612.0,1260206.125,1954,4,200.0
90,4,1485,107,2102.0,2.0,633.7,2741194.5,1253356.625,1983,5,205.0
89,3,1700,209,10672.0,3.0,592.8,2759267.75,1190738.875,2008,17,321.0
36,2,1320,261,22986.0,3.0,376.5,2499534.5,1116339.125,1995,10,142.0
70,3,970,82,4502.0,3.0,415.0,2593185.75,1245412.5,1968,9,234.0
60,3,1500,37,2086.0,5.0,429.1,2725584.0,1269263.0,1935,3,83.0
57,3,1660,41,5167.0,3.0,437.2,2665415.0,1211822.0,1894,4,199.0
100,4,1640,86,5517.0,3.0,445.0,2689570.0,1253284.0,2005,11,364.0
110,3,1800,49,879.0,3.0,619.8,2724592.25,1239782.125,2019,8,275.0
72,3,870,37,903.0,4.0,455.8,2592203.0,1246189.5,1997,5,183.0
58,2,1755,262,14032.0,2.0,457.7,2699789.0,1262234.875,2016,17,467.0
70,2,1535,103,3525.0,4.0,481.7,2680227.75,1250814.5,1983,7,342.0
17,1,1500,134,74086.0,1.0,407.5,2682752.5,1246436.875,1928,2,313.0
47,1,950,313,27150.0,3.0,280.2,2611461.5,1265843.125,1974,37,407.0
57,2,1050,57,1984.0,3.0,405.0,2766635.5,1252634.75,1993,6,232.0
70,3,1415,128,6190.0,4.0,275.6,2608584.75,1267131.5,1959,6,162.0
27,1,950,127,29358.0,3.0,279.7,2611388.5,1265986.375,1975,14,124.0
128,1,1550,153,86223.0,3.0,403.3,2681252.75,1248988.0,2012,31,426.0
81,3,1397,24,1539.0,2.0,396.1,2710889.0,1269196.875,1990,11,290.0
70,2,1795,195,22445.0,4.0,462.6,2539778.25,1151773.25,2012,24,519.0
54,2,2395,45,17720.0,4.0,437.2,2689005.25,1250102.0,1966,9,218.0
91,3,2170,357,2451.0,1.0,512.2,2662667.25,1211160.625,2021,138,3358.0
64,3,1160,145,2969.0,4.0,432.2,2690316.25,1284362.0,1924,3,91.0
41,2,1266,192,30622.0,3.0,465.5,2537162.75,1152533.625,1905,30,275.0
103,2,1720,7,22919.0,2.0,285.5,2615784.75,1264145.0,1900,3,77.0
25,1,1150,21,743.0,2.0,799.6,2541813.5,1155693.625,2013,9,350.0
21,1,890,142,4107.0,1.0,288.0,2609930.25,1265918.0,1582,2,146.0
73,3,1750,104,11216.0,4.0,535.8,2536347.0,1154683.625,1950,13,208.0
82,4,1578,153,539.0,3.0,286.0,2627626.5,1267416.875,1972,24,484.0
75,3,1300,92,1948.0,2.0,391.4,2690457.75,1283468.0,1954,10,236.0
71,3,1505,259,16324.0,3.0,252.0,2611365.25,1268158.625,2006,14,380.0
77,2,1850,62,11904.0,4.0,423.1,2536133.25,1152789.5,2013,24,542.0
65,2,2298,193,9968.0,2.0,407.5,2678743.75,1248984.875,1996,7,205.0
40,2,130,46,12414.0,3.0,727.3,2746243.75,1255577.375,1964,1,159.0
70,3,1090,20,13180.0,4.0,666.8,2746801.0,1255477.25,1918,19,236.0
27,1,990,53,15322.0,3.0,661.1,2746366.25,1254946.125,1969,1,103.0
30,1,990,148,9547.0,3.0,700.1,2745828.25,1253856.375,1948,15,205.0
60,2,1531,78,1170.0,1.0,460.7,2699693.0,1240283.25,2004,41,3354.0
47,2,1370,120,14308.0,3.0,461.3,2539813.0,1151757.875,1945,12,239.0
100,3,1805,156,9749.0,3.0,408.4,2635379.25,1241081.5,2020,62,1871.0
111,4,2430,31,7242.0,2.0,446.3,2605934.25,1229089.25,1939,2,92.0
27,1,990,55,7732.0,3.0,688.5,2747209.0,1254646.5,2025,27,348.0
80,3,970,61,2369.0,1.0,434.9,2725469.25,1270203.375,1988,3,103.0
41,1,710,104,942.0,3.0,485.3,2751734.5,1212663.875,1985,14,300.0
34,1,990,4,15322.0,2.0,659.8,2746477.5,1255114.375,1918,17,352.0
50,1,1910,119,28817.0,3.0,449.6,2684937.0,1246204.0,1962,18,363.0
46,2,1370,263,4165.0,2.0,252.4,2613534.0,1266806.75,1955,21,395.0
88,4,1100,96,930.0,4.0,412.1,2748430.25,1263632.0,1964,12,370.0
47,2,1360,164,4663.0,4.0,392.7,2562768.75,1129566.75,1964,38,557.0
95,3,1250,44,222.0,4.0,269.9,2721900.25,1123959.25,2012,12,344.0
47,2,1950,303,57030.0,1.0,415.0,2681569.75,1247078.5,1910,7,178.0
40,1,850,222,12196.0,2.0,271.8,2610212.0,1267862.625,1930,20,636.0
95,3,1700,60,5679.0,1.0,419.8,2686074.75,1242294.75,1933,4,215.0
38,1,790,74,2563.0,3.0,778.5,2738953.25,1249485.875,2019,1,83.0
101,4,2500,89,5244.0,3.0,438.3,2677860.25,1249228.5,1984,7,232.0
110,3,2290,73,8569.0,4.0,562.3,2614705.5,1178575.25,1900,3,78.0
25,1,1100,238,38621.0,2.0,417.0,2681785.25,1246550.125,1930,13,211.0
40,2,795,50,1776.0,4.0,484.5,2555537.25,1188189.875,1967,12,237.0
80,2,2690,310,7792.0,4.0,402.9,2507273.0,1137663.25,2013,69,1150.0
120,4,2580,6,11.0,3.0,747.2,2538870.0,1188767.75,1824,3,280.0
30,1,790,4,1224.0,4.0,523.8,2541927.5,1181381.5,1982,2,146.0
42,2,1395,105,13995.0,3.0,400.5,2532158.5,1155293.625,1958,16,248.0
59,2,760,101,1205.0,3.0,408.8,2748953.0,1263592.25,1984,7,175.0
35,1,800,38,9268.0,2.0,681.8,2747064.75,1256076.375,1954,9,263.0
34,1,1107,180,5239.0,2.0,455.3,2682617.0,1243455.125,1934,8,192.0
72,3,2005,4,280.0,3.0,572.8,2693981.5,1256788.625,1957,2,145.0
33,1,820,155,18866.0,3.0,256.3,2613069.5,1269067.125,1972,48,421.0
72,4,1330,101,10223.0,4.0,335.1,2620861.75,1261530.5,1965,12,326.0
43,2,1610,57,11904.0,4.0,422.8,2536471.75,1152372.75,1992,25,346.0
60,2,1830,121,10761.0,4.0,429.2,2686889.75,1250934.75,2014,32,442.0
50,2,1030,280,8454.0,3.0,266.0,2609764.75,1268798.25,1957,10,273.0
98,4,2100,168,4377.0,4.0,408.6,2693746.25,1263357.125,1986,7,266.0
80,3,1892,125,4393.0,3.0,280.8,2613945.75,1264431.25,1973,10,222.0
33,1,940,168,3460.0,4.0,400.1,2745935.25,1270091.375,2022,30,608.0
79,3,1585,166,10956.0,4.0,389.2,2671978.25,1251215.125,1957,10,170.0
39,1,981,143,3355.0,4.0,556.6,2604431.5,1200978.875,2016,23,374.0
47,2,1480,120,14308.0,3.0,461.3,2539813.0,1151757.875,1945,12,239.0
51,2,1290,148,3942.0,4.0,277.7,2608575.5,1266415.375,1963,7,214.0
80,3,2450,14,555.0,5.0,444.1,2525390.0,1151369.5,1985,1,81.0
72,3,1180,136,1795.0,3.0,298.4,2621671.75,1260670.875,1968,15,235.0
45,2,1400,16,3932.0,4.0,460.7,2729866.0,1278180.5,1964,3,102.0
80,2,1415,97,8569.0,1.0,557.8,2614466.0,1178840.5,1939,4,117.0
47,2,1480,120,14308.0,3.0,461.3,2539813.0,1151757.875,1945,12,239.0
66,3,1220,112,1795.0,3.0,297.0,2621660.25,1260795.75,1971,10,150.0
33,1,1105,122,36998.0,3.0,515.7,2538222.5,1153152.125,1939,25,387.0
